emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
desmume,bench-historical,bench-historical,behavior_pass,3,1.00,1,1,0.00,0.000000,0,1,dc1b8ba7,124
desmume,bench-historical,bench-historical,benchmark_started,3,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,bench-historical,bench-historical,file_output_ready,3,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,bench-historical,bench-historical,frame_over_1pct_count,3,209.00,209,209,0.00,0.000000,0,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,frame_over_2x_count,3,0.00,0,0,0.00,0.000000,0,1,dc1b8ba7,124
desmume,bench-historical,bench-historical,frame_total,3,706134.00,706134,706134,0.00,0.000000,642,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,hit_test,3,3464.00,3464,3464,0.00,0.000000,0,0,d82df0ac,124
desmume,bench-historical,bench-historical,hit_test_heap_delta_bytes,3,14400.00,14400,14400,0.00,0.000000,0,0,d82df0ac,124
desmume,bench-historical,bench-historical,hit_test_heap_fixed_pass,3,0.00,0,0,0.00,0.000000,0,0,d82df0ac,124
desmume,bench-historical,bench-historical,line_quads_rendered,3,22183.00,22183,22183,0.00,0.000000,0,1,dc1b8ba7,124
desmume,bench-historical,bench-historical,overall_pass,3,0.00,0,0,0.00,0.000000,0,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,physics_step,3,606231.00,606231,606231,0.00,0.000000,390,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,render_begin,3,1267.00,1267,1267,0.00,0.000000,0,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,render_canvas,3,97333.00,97333,97333,0.00,0.000000,0,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,render_end,3,171.00,171,171,0.00,0.000000,0,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,render_frame,3,99031.00,99031,99031,0.00,0.000000,0,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,scene_position_sum_x,3,2996.00,2996,2996,0.00,0.000000,0,1,d8635f64,124
desmume,bench-historical,bench-historical,scene_position_sum_y,3,1944.00,1944,1944,0.00,0.000000,0,1,d8635f64,124
desmume,bench-historical,bench-historical,scene_things_created,3,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,bench-historical,bench-historical,things_final,3,27.00,27,27,0.00,0.000000,0,0,dc1b8ba7,124
desmume,bench-historical,bench-historical,timer_read_overhead_ticks,3,37.00,37,37,0.00,0.000000,0,1,00000000,124
desmume,bench-historical,bench-historical,touch_create_and_drag,3,10062.00,10062,10062,0.00,0.000000,0,0,d8635f64,124
desmume,bench-historical,bench-historical,visible_things_rendered,3,5070.00,5070,5070,0.00,0.000000,0,1,dc1b8ba7,124
desmume,bench-improved,bench-improved,behavior_pass,3,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,benchmark_started,3,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,bench-improved,bench-improved,file_output_ready,3,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,bench-improved,bench-improved,frame_over_1pct_count,3,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,frame_over_2x_count,3,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,frame_total,3,557252.00,557252,557252,0.00,0.000000,684,1,8c4d9050,124
desmume,bench-improved,bench-improved,hit_test,3,1851.00,1851,1851,0.00,0.000000,0,1,d82df0ac,124
desmume,bench-improved,bench-improved,hit_test_heap_delta_bytes,3,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,bench-improved,bench-improved,hit_test_heap_fixed_pass,3,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,bench-improved,bench-improved,line_quads_rendered,3,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,overall_pass,3,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,physics_step,3,181898.00,181898,181898,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,render_begin,3,1002.00,1002,1002,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,render_canvas,3,373290.00,373290,373290,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,render_end,3,97.00,97,97,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,render_frame,3,374748.00,374748,374748,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,scene_position_sum_x,3,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,bench-improved,bench-improved,scene_position_sum_y,3,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,bench-improved,bench-improved,scene_things_created,3,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,bench-improved,bench-improved,things_final,3,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-improved,bench-improved,timer_read_overhead_ticks,3,13.00,13,13,0.00,0.000000,0,1,00000000,124
desmume,bench-improved,bench-improved,touch_create_and_drag,3,10270.00,10270,10270,0.00,0.000000,0,1,d8635f64,124
desmume,bench-improved,bench-improved,visible_things_rendered,3,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,bench-modern,bench-modern,behavior_pass,3,1.00,1,1,0.00,0.000000,0,1,240ed10b,124
desmume,bench-modern,bench-modern,benchmark_started,3,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,bench-modern,bench-modern,file_output_ready,3,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,bench-modern,bench-modern,frame_over_1pct_count,3,103.00,103,103,0.00,0.000000,0,0,240ed10b,124
desmume,bench-modern,bench-modern,frame_over_2x_count,3,87.00,87,87,0.00,0.000000,0,0,240ed10b,124
desmume,bench-modern,bench-modern,frame_total,3,918315.00,918315,918315,0.00,0.000000,360,0,240ed10b,124
desmume,bench-modern,bench-modern,hit_test,3,3531.00,3531,3531,0.00,0.000000,0,0,14c85783,124
desmume,bench-modern,bench-modern,hit_test_heap_delta_bytes,3,14400.00,14400,14400,0.00,0.000000,0,0,14c85783,124
desmume,bench-modern,bench-modern,hit_test_heap_fixed_pass,3,0.00,0,0,0.00,0.000000,0,0,14c85783,124
desmume,bench-modern,bench-modern,line_quads_rendered,3,22488.00,22488,22488,0.00,0.000000,0,1,240ed10b,124
desmume,bench-modern,bench-modern,overall_pass,3,0.00,0,0,0.00,0.000000,0,0,240ed10b,124
desmume,bench-modern,bench-modern,physics_step,3,616583.00,616583,616583,0.00,0.000000,306,0,240ed10b,124
desmume,bench-modern,bench-modern,render_begin,3,976.00,976,976,0.00,0.000000,0,0,240ed10b,124
