emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
melonds,bench-historical,bench-historical,behavior_pass,3,1.00,1,1,0.00,0.000000,0,1,dc1b8ba7,124
melonds,bench-historical,bench-historical,benchmark_started,3,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,bench-historical,bench-historical,file_output_ready,3,0.00,0,0,0.00,0.000000,0,1,00000000,124
melonds,bench-historical,bench-historical,frame_over_1pct_count,3,0.00,0,0,0.00,0.000000,0,1,dc1b8ba7,124
melonds,bench-historical,bench-historical,frame_over_2x_count,3,0.00,0,0,0.00,0.000000,0,1,dc1b8ba7,124
melonds,bench-historical,bench-historical,frame_total,3,554829.00,554829,554829,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,hit_test,3,2805.00,2805,2805,0.00,0.000000,0,0,d82df0ac,124
melonds,bench-historical,bench-historical,hit_test_heap_delta_bytes,3,14400.00,14400,14400,0.00,0.000000,0,0,d82df0ac,124
melonds,bench-historical,bench-historical,hit_test_heap_fixed_pass,3,0.00,0,0,0.00,0.000000,0,0,d82df0ac,124
melonds,bench-historical,bench-historical,line_quads_rendered,3,22183.00,22183,22183,0.00,0.000000,0,1,dc1b8ba7,124
melonds,bench-historical,bench-historical,overall_pass,3,0.00,0,0,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,physics_step,3,278893.00,278893,278893,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,render_begin,3,795.00,795,795,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,render_canvas,3,274560.00,274560,274560,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,render_end,3,55.00,55,55,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,render_frame,3,275562.00,275562,275562,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,scene_position_sum_x,3,2996.00,2996,2996,0.00,0.000000,0,1,d8635f64,124
melonds,bench-historical,bench-historical,scene_position_sum_y,3,1944.00,1944,1944,0.00,0.000000,0,1,d8635f64,124
melonds,bench-historical,bench-historical,scene_things_created,3,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
melonds,bench-historical,bench-historical,things_final,3,27.00,27,27,0.00,0.000000,0,0,dc1b8ba7,124
melonds,bench-historical,bench-historical,timer_read_overhead_ticks,3,32.00,32,32,0.00,0.000000,0,1,00000000,124
melonds,bench-historical,bench-historical,touch_create_and_drag,3,5471.00,5471,5471,0.00,0.000000,0,0,d8635f64,124
melonds,bench-historical,bench-historical,visible_things_rendered,3,5070.00,5070,5070,0.00,0.000000,0,1,dc1b8ba7,124
melonds,bench-improved,bench-improved,behavior_pass,3,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,benchmark_started,3,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,bench-improved,bench-improved,file_output_ready,3,0.00,0,0,0.00,0.000000,0,1,00000000,124
melonds,bench-improved,bench-improved,frame_over_1pct_count,3,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,frame_over_2x_count,3,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,frame_total,3,556860.00,556860,556860,0.00,0.000000,693,1,8c4d9050,124
melonds,bench-improved,bench-improved,hit_test,3,1594.00,1594,1594,0.00,0.000000,0,1,d82df0ac,124
melonds,bench-improved,bench-improved,hit_test_heap_delta_bytes,3,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
melonds,bench-improved,bench-improved,hit_test_heap_fixed_pass,3,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
melonds,bench-improved,bench-improved,line_quads_rendered,3,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,overall_pass,3,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,physics_step,3,111032.00,111032,111032,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,render_begin,3,531.00,531,531,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,render_canvas,3,445037.00,445037,445037,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,render_end,3,34.00,34,34,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,render_frame,3,445682.00,445682,445682,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,scene_position_sum_x,3,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
melonds,bench-improved,bench-improved,scene_position_sum_y,3,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
melonds,bench-improved,bench-improved,scene_things_created,3,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
melonds,bench-improved,bench-improved,things_final,3,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-improved,bench-improved,timer_read_overhead_ticks,3,14.00,14,14,0.00,0.000000,0,1,00000000,124
melonds,bench-improved,bench-improved,touch_create_and_drag,3,6239.00,6239,6239,0.00,0.000000,0,1,d8635f64,124
melonds,bench-improved,bench-improved,visible_things_rendered,3,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
melonds,bench-modern,bench-modern,behavior_pass,3,1.00,1,1,0.00,0.000000,0,1,240ed10b,124
melonds,bench-modern,bench-modern,benchmark_started,3,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,bench-modern,bench-modern,file_output_ready,3,0.00,0,0,0.00,0.000000,0,1,00000000,124
melonds,bench-modern,bench-modern,frame_over_1pct_count,3,102.00,102,102,0.00,0.000000,0,0,240ed10b,124
melonds,bench-modern,bench-modern,frame_over_2x_count,3,87.00,87,87,0.00,0.000000,0,0,240ed10b,124
melonds,bench-modern,bench-modern,frame_total,3,904349.00,904349,904349,0.00,0.000000,678,0,240ed10b,124
melonds,bench-modern,bench-modern,hit_test,3,3015.00,3015,3015,0.00,0.000000,0,0,14c85783,124
melonds,bench-modern,bench-modern,hit_test_heap_delta_bytes,3,14400.00,14400,14400,0.00,0.000000,0,0,14c85783,124
melonds,bench-modern,bench-modern,hit_test_heap_fixed_pass,3,0.00,0,0,0.00,0.000000,0,0,14c85783,124
melonds,bench-modern,bench-modern,line_quads_rendered,3,22488.00,22488,22488,0.00,0.000000,0,1,240ed10b,124
melonds,bench-modern,bench-modern,overall_pass,3,0.00,0,0,0.00,0.000000,0,0,240ed10b,124
melonds,bench-modern,bench-modern,physics_step,3,584579.00,584579,584579,0.00,0.000000,306,0,240ed10b,124
melonds,bench-modern,bench-modern,render_begin,3,534.00,534,534,0.00,0.000000,0,0,240ed10b,124
melonds,bench-modern,bench-modern,render_canvas,3,318934.00,318934,318934,0.00,0.000000,0,0,240ed10b,124
melonds,bench-modern,bench-modern,render_end,3,34.00,34,34,0.00,0.000000,0,0,240ed10b,124
melonds,bench-modern,bench-modern,render_frame,3,319592.00,319592,319592,0.00,0.000000,0,0,240ed10b,124
melonds,bench-modern,bench-modern,scene_position_sum_x,3,3021.00,3021,3021,0.00,0.000000,0,1,d8635f64,124
melonds,bench-modern,bench-modern,scene_position_sum_y,3,1969.00,1969,1969,0.00,0.000000,0,1,d8635f64,124
