desmume canvas-arm-o2: complete touch/physics/render workload; timing spread <= 0.000000%
desmume canvas-thumb-o2: complete touch/physics/render workload; timing spread <= 0.000000%
desmume combined: complete touch/physics/render workload; timing spread <= 0.000000%
desmume ds-arm: complete touch/physics/render workload; timing spread <= 0.000000%
desmume ds-arm-fast: complete touch/physics/render workload; timing spread <= 0.000000%
desmume ds-thumb-fast: complete touch/physics/render workload; timing spread <= 0.000000%
desmume ds-thumb-fast-nolto: complete touch/physics/render workload; timing spread <= 0.000000%
desmume gate: complete touch/physics/render workload; timing spread <= 0.000000%
desmume length: complete touch/physics/render workload; timing spread <= 0.000000%
desmume physics-itcm: complete touch/physics/render workload; timing spread <= 0.000000%
desmume reciprocal: complete touch/physics/render workload; timing spread <= 0.000000%
desmume selected: complete touch/physics/render workload; timing spread <= 0.000000%
desmume software-control: complete touch/physics/render workload; timing spread <= 0.000000%
