emulator,label,iteration,status,rom_sha256,rom_size_bytes,tag,build,metric,count,total_ticks,mean_ticks,min_ticks,max_ticks,budget_ticks,over_budget,checksum,pass
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,benchmark_started,1,1,1,1,1,0,0,00000000,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,file_output_ready,1,0,0,0,0,0,0,00000000,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,timer_read_overhead_ticks,1,14,14,14,14,0,0,00000000,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,scene_things_created,1,27,27,27,27,0,0,d8635f64,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,scene_position_sum_x,1,2995,2995,2995,2995,0,0,d8635f64,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,scene_position_sum_y,1,1943,1943,1943,1943,0,0,d8635f64,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,hit_test_heap_delta_bytes,1,0,0,0,0,0,0,d82df0ac,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,touch_create_and_drag,225,3003802,13350,124,200626,0,0,d8635f64,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,hit_test,600,1053819,1756,1191,4319,0,0,d82df0ac,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,physics_step,240,129443940,539349,341126,1013963,558566,84,f49066a8,1
"desmume","software-control",1,124,"9c4a8e4a1ee532431eb41c5635620e0fa0482d768c4454c25b4a3e432a8ab3c0",749568,PPBENCH,bench-improved-lto,render_frame,240,28134792,117228,56506,217908,558566,0,f49066a8,1
