emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,frame_total,2,556756.00,556756,556756,0.00,0.000000,456,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,hit_test,2,1728.00,1728,1728,0.00,0.000000,0,1,d82df0ac,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,physics_step,2,221356.00,221356,221356,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_begin,2,993.00,993,993,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_canvas,2,333331.00,333331,333331,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_end,2,129.00,129,129,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_frame,2,334768.00,334768,334768,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,timer_read_overhead_ticks,2,13.00,13,13,0.00,0.000000,0,1,00000000,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,touch_create_and_drag,2,10974.00,10974,10974,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,frame_total,2,556629.00,556629,556629,0.00,0.000000,456,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,hit_test,2,1690.00,1690,1690,0.00,0.000000,0,1,d82df0ac,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,physics_step,2,222144.00,222144,222144,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,render_begin,2,960.00,960,960,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,render_canvas,2,332422.00,332422,332422,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,render_end,2,153.00,153,153,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,render_frame,2,333851.00,333851,333851,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,timer_read_overhead_ticks,2,14.00,14,14,0.00,0.000000,0,1,00000000,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,touch_create_and_drag,2,10926.00,10926,10926,0.00,0.000000,0,1,d8635f64,124
desmume,canvas-thumb-o2,bench-nds-hw-arm-canvas-thumb-o2,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,combined,bench-nds-hw-arm-backport-combined,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,combined,bench-nds-hw-arm-backport-combined,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,frame_total,2,556700.00,556700,556700,0.00,0.000000,456,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,hit_test,2,1787.00,1787,1787,0.00,0.000000,0,1,d82df0ac,124
desmume,combined,bench-nds-hw-arm-backport-combined,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,combined,bench-nds-hw-arm-backport-combined,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,combined,bench-nds-hw-arm-backport-combined,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,physics_step,2,193397.00,193397,193397,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,render_begin,2,959.00,959,959,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,render_canvas,2,361263.00,361263,361263,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,render_end,2,157.00,157,157,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,render_frame,2,362720.00,362720,362720,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,combined,bench-nds-hw-arm-backport-combined,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,combined,bench-nds-hw-arm-backport-combined,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,combined,bench-nds-hw-arm-backport-combined,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,combined,bench-nds-hw-arm-backport-combined,timer_read_overhead_ticks,2,14.00,14,14,0.00,0.000000,0,1,00000000,124
desmume,combined,bench-nds-hw-arm-backport-combined,touch_create_and_drag,2,10381.00,10381,10381,0.00,0.000000,0,1,d8635f64,124
desmume,combined,bench-nds-hw-arm-backport-combined,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
