emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,frame_total,2,556573.00,556573,556573,0.00,0.000000,456,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,hit_test,2,1524.00,1524,1524,0.00,0.000000,0,1,d82df0ac,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,physics_step,2,130353.00,130353,130353,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_begin,2,524.00,524,524,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_canvas,2,425442.00,425442,425442,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_end,2,34.00,34,34,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,render_frame,2,426079.00,426079,426079,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,timer_read_overhead_ticks,2,13.00,13,13,0.00,0.000000,0,1,00000000,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,touch_create_and_drag,2,6610.00,6610,6610,0.00,0.000000,0,1,d8635f64,124
melonds,canvas-arm-o2,bench-nds-hw-arm-canvas-o2,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
